uniprot	FLYBASE	Alias
P40423	FBgn0003514	CG3595;DmMRLC_C;Dmel\CG3595;MLC;MLRC;MRLC;Myo;Myo II;Myo-II;Myo-II RLC;MyoII;NMM;RLC;RMLC;Sqh;myoII;myosin II;sgh;spg;squ;ssq
Q9VBR6	FBgn0261575	CG11909;CT33098;Dmel\CG11909
Q9VBR7	FBgn0027376	CG11908;Dmel\CG11908;RADHA;anon-WO0140519.50
Q9VBR4	FBgn0039331	CG111913;CG11913;Dmel\CG11913;NUCM;Q9VBR4_DROME
P40427	FBgn0000611	CG8933;DExd;Dm-EXD;Dmel\CG8933;Dpbx;EXD;Exd;Pbx1;anon-EST:fe1H3;l(1)IV;lincRNA.S9404;td48
Q9VUR1	FBgn0261109	154538_at;CG7764;Dmel\CG7764;Dmp52;TFB2;Tfb2;anon-WO0118547.648;l(3)E35;ms(3)nc16;nc16;p52
Q9VUR0	FBgn0036512	Dmel\CG16979
Q9VUR3	FBgn0036515	Dmel\CG12304;p38
Q9VUR2	FBgn0036514	Dmel\CG12301
Q9VUR5	FBgn0036518	BcDNA:LD07615;CG16980;CG32149;CG7396;Dmel\CG32149;RhoGAP-71E1;RhoGap71E;l(3)j6B9
Q9VUR4	FBgn0036516	Dmel\CG7656
Q9VUR7	FBgn0036519	BcDNA:AT27057;Dmel\CG7650
M9MSK7	FBgn0266084	CG32025;CG32030;CG42610;CG5775;CG5797;Dmel\CG42610;Dmel_CG32025;Dmel_CG32030;dFHOS;desert;jaz;knit;l(3)01629
Q9I7U2	FBgn0035321	Cyt-b561-1;Dmel\CG1275;anon-WO0118547.260
Q9VE88	FBgn0038606	Dmel\CG15803;lincRNA.804
Q9VLW9	FBgn0031950	CG1453;CG14536;Dmel\CG14536;dHerp;herp
P08841	FBgn0003888	143391_i_at;3t;B3t;BETA 60D;CG3401;D.m.BETA-60D;DTB3;Dmbeta3;Dmel\CG3401;T;Tub;Tub60D;beta-Tub60D;beta-Tub6D;beta-tub;beta3;beta3 TU;beta3-Tub;beta3-tubulin;beta3TUB;beta3Tub;beta3t;beta3tub;beta60C;betaTub;betaTub3;betaTub60C;beta[[3]] tubulin;beta[[3]]-Tub;beta[[3]]-tubulin;betatub60D;p50;p50/tubulin;p53;p53/tubulin
Q9VE87	FBgn0038607	CG7669;Dmel\CG7669;anon-WO0140519.198
Q9VE86	FBgn0038608	CG7670;DmWRNexo;Dmel\CG7670
Q9VE85	FBgn0038609	CG7671;Dmel\CG7671;nup43
Q8IR52	FBgn0052602	CG32602;CG5228;Dmel\CG32602
M9PCQ3	FBgn0005536	0573/06;0953/04;CG32156;CG5600;CG5891;DMBS;DMYPT;DMbs;Dmel\CG32156;MBS;Mypt;l(3)03802;l(3)72Dd;l(3)S005331b;l(3)S057306;l(3)S057306b;l(3)S095304;l(3)j3B4;l(3)j7A1;mbs
Q9VMV3	FBgn0260470	BcDNA:AT09933;CG14041;Dmel\CG14041;NEST:bs13e02;dmSSBa
P05389	FBgn0003274	BcDNA:SD22208;CG4918;Dmel\CG4918;LP2;RLA2_DROME;RpA1;RpP1;RplP2;T1;Tp1;bs34h02.y1;chr2R:12101099..12101299;rpA1
Q9VWL5	FBgn0030989	CG7537;Dm-inx5;Dmel\CG7537;FBpp0074467;inx-5;inx5
Q9VWL4	FBgn0030990	Dmel\CG7556
Q9VWL7	FBgn0261461	5-131;CG17015;CG42274;CG7481;CG7502;CG7531;Dmel\CG42274;Dmel_CG7481;Dmel_CG7502;whir
Q9VR87	FBgn0031103	Dmel\CG12679
P18490	FBgn0003048	CG3443;DMPCX;Dmel\CG3443;EG:30B8.4;fs(1)12-1012;fs(1)12-1743;fs(1)12-2135;fs(1)12-3014;fs(1)12-3102;fs(1)12-4169;fs(1)14-1153;fs(1)14-567;fs(1)A387;fs(1)M10;fs(1)pcx;mel(1)R;mel(1)R1
Q9VWL0	FBgn0030993	CG7635;DMec2;Dmel\CG7635
Q2PDR0	FBgn0053977	Dmel\CG33977
A1Z6S0	FBgn0053558	CG33352;CG33558;CG9469;Dm_2R:10851;Dmel\CG33558;MIM;Mim;anon-EST:fe1E4;dmim
Q9VWL9	FBgn0261461	5-131;CG17015;CG42274;CG7481;CG7502;CG7531;Dmel\CG42274;Dmel_CG7481;Dmel_CG7502;whir
A1Z6S4	FBgn0053349	CG15242;CG33349;Dmel\CG33349;llz
A1Z6S7	FBgn0022960	CG3572;Dmel\CG3572;Vimar;anon-EST:Posey213;l(2)k16722
Q9VXR5	FBgn0030672	BEST:LD38280;Dmel\CG9281
Q9VR82	FBgn0027107	CG17063;Dm-inx6;Dmel\CG17063;FBpp0077031;inx-6;inx6;prp6
Q9VR83	FBgn0031100	1504;CT3673;Dmel\CG1504
Q9Y0A7	FBgn0003270	Amos;CG10393;Dmel\CG10393;Roi;Tft;asolo;bHLHa10;rolo
A0A0B4K6A6	FBgn0013995	9C5;CALX;CALX1.1;CG5685;CalX;Dmel/Ncx;Dmel\CG5685;NCX;Ncx;anon-93ABa;calX;calx
M9NCQ1	FBgn0051663	BcDNA:GH27779;CG15359;CG15360;Dmel\CG31663
A0A0B4K6A1	FBgn0027608	BcDNA:GH02439;Dmel\CG2082
A0A0B4K6A2	FBgn0262869	BcDNA:GH26447;CG17203;CG17204;CG17205;CG17208;CG33518;CG34118;CG34119;CG42401;CG42625;CG42801;CG43224;CG4342;DmGfrl;Dmel\CG43224;Dmel_CG17208;Dmel_CG33518;Dmel_CG34118;Dmel_CG34119;Dmel_CG42401;Dmel_CG42625;Dmel_CG42801;Dmel_CG4342;mun
Q9W2R4	FBgn0011674	25/17;CG11312;Dmel\CG11312;INSC;Ins;Insc;fam;l(2)05475;l(2)k12405;nem
P24350	FBgn0000028	ACJ6;Acj6;CG9151;Dmel\CG9151;I-POU;Ipou;tI-POU
O01346	FBgn0001404	4ManT;CG9659;Dmel\CG9659;EG:BACR25B3.8;Egh;ZW-4;beta1;l(1)3Ae;l(1)zw4;zw-4;zw4
P21187	FBgn0265297	BcDNA:LD24412;CG16803;CG5119;Dmel\CG5119;PABP;PABP55B;PABPC1;PAbp;Pabp;anon-EST:Posey247;anon-EST:Posey249;anon-EST:fe2E5;dPABP;duo;l(2)SH1908;l(2)SH2 1908;l(2)k10109;pAB;pABP;pabp
X2JC00	FBgn0025836	BCR;CG17617;CG17960;CG40453;CG40494;Dmel\CG40494;Dmel_CG00000;EG:23E12.2;EG:23E12.5;RhoGAP;rhoGAP1A
Q7KTS4	FBgn0025825	CG2128;DHDAC3;DmHDAC3;Dmel\CG2128;Dromel_CG2128_FBtr0078767_hdac3_mORF;HDAC;Hdac 3;Hdac3;dHDAC3;dmHDA402;hdac3
X2JC02	FBgn0266696	CG1141;CG12790;CG13797;CG13798;CG13799;CG13800;CG16763;CG16764;CG32306;CG33231;CG33232;CG42669;Dmel\CG45186;Dmel_CG13800;Dmel_CG32306;Dmel_CG33231;Dmel_CG33232;Dmel_CG42669;c62E-11
Q7KTS2	FBgn0037363	CG1347;Dmel\CG1347;FIP200;Fip200;RB1CC1;fip200
Q7KTS3	FBgn0037336	Dmel\CG2519
M9PB41	FBgn0031683	Dmel\CG4230
X2JC06	FBgn0010905	BcDNA:GM16129;CG16757;Dmel\CG16757;E62;EL62;c62E-5;l(3)06911;spn
X2JC09	FBgn0030673	Dmel\CG15601
A0A0B4LIA7	FBgn0038402	CG5952;Dmel\CG5952;bHLHa33;fer2
A0A0B4LIA2	FBgn0266566	CG14878;CG31291;CG34275;CG5552;Dmel\CG45105;Dmel_CG31291;Dmel_CG34275
Q9VRR2	FBgn0035649	Dmel\CG10483
Q9VRR0	FBgn0035647	Dmel\CG10486
Q9W539	FBgn0264562	CG16902;CG3600;CG42527;CG43692;CG43934;DHR4;Dmel\CG43934;Dmel_CG16902;Dmel_CG3600;Dmel_CG42527;EG:133E12.2;EG:BACH61I5.1;EP(X)1232;EP1232;GRF;NR6A2;null
D1YSG7	FBgn0264607	CAMKII;CAMKIIalpha;CAMKIId;CDPK1;CG18069;Ca2+/calmodulin-dependent protein kinase II;CaM;CaM II;CaM KII;CaM kinase;CaMK II;CaMK-II;Calcium/calmodulin-dependent protein kinase;Cam;CamKII;CamKIIalpha;Camkii;DCK;Dmel\CG18069;calcium/calmodulin-dependent protein kinase II;camKII;dCAMKII;dCaMKII;l(4)102EFb;l(4)16;l(4)ar
Q9VRR4	FBgn0053523	BcDNA:GH09028;CG10727;CG10977;CG32410;CG33523;Dmel\CG33523
A4V264	FBgn0053969	CG32429;CG5571;Dmel\CG33969
A0A0C4DHG7	FBgn0259823	BcDNA:SD12744;CG31154;CG34128;CG4285;Dmel\CG42404;Dmel_CG34128;Dmel_CG4285;lincRNA.S6902
A0A0C4DHG4	FBgn0033990	CG30474;Dmel\CG10265
Q9W3K4	FBgn0029999	Dmel\CG1575
Q9W531	FBgn0025626	Dmel\CG4281;EG:22E5.7
Q9W530	FBgn0029596	BcDNA:AT13882;Dmel\CG14054
Q9W533	FBgn0025632	Dmel\CG4313;EG:22E5.10
Q9W532	FBgn0025625	CG4290;Dmel\CG4290;EG:22E5.8;SIK;SIK2
P04388	FBgn0003206	BcDNA:RE36103;C-ras2;CG1167;D-ras-2;D-ras2;DRas2;Dm-ras-64B;Dmel\CG1167;Dmras64B;Dras2;Dras64B;RAS;RAS2;RAS64B;Ras;Ras2;c-ras2;ras;ras-2;ras2
Q9VUB8	FBgn0061515	0670/06;CG6513;Dmel\CG6513;End;dendos;l(3)S067006
Q5BI62	FBgn0010241	CG8523;Dm2;Dm3;Dmel\CG8523;MDR50;mdr50
A1ZB42	FBgn0260401	BcDNA:LD07740;BcDNA:RH42446;CG30112;CG30113;CG42517;CG5134;Dmel\CG42517;Dmel_CG5134;med9
A1ZB48	FBgn0034318	Dmel\CG14500
Q709R6	FBgn0037719	Bocks;Bocksbeutel;CG9424;Dmel\CG9424;emerin
Q9VJR4	FBgn0028886	BG:DS03431.1;DS03431.1;DmNAT6;Dmel\CG15279;anon-WO0149848.9
A1ZBR5	FBgn0034483	Dmel\CG16894
Q8IRQ6	FBgn0029879	Apc7;CG14444;Dmel\CG14444
Q8IRQ5	FBgn0028336	CG 4094;CG4094;Dmel\CG4094;FBgn0029889;l(1)G0290
M9NE94	FBgn0013718	CG32140;CG33991;CG7867;CIP-D2;Cy3-23;D2;Dmel\CG33991;EP3077;FIP3;NUF;Nuf;Nuf1;Nuf2p;anon-D2
M9NE97	FBgn0062413	BcDNA:RH42635;CG3977;DmCtr1A;Dmel\CG3977;ctr1A
M9NE98	FBgn0036460	Dmel\CG5114
Q9V8G0	FBgn0040736	BcDNA:RH58911;CG16844;CT37419;DIM 3;Dmel\CG16844;im3
A1Z9A5	FBgn0033813	CG12765;Dmel\CG12765;FBXO14
Q9VNN3	FBgn0037420	Dmel\CG15597
Q86B54	FBgn0053177	CG5579;Dmel\CG33177
Q86B55	FBgn0261244	CG11096;CG11102;CG11104;CG15761;CG32630;CG33174;DAGL;Dmel\CG33174;EP(X)1101
Q9VNN6	FBgn0040279	BEST:LD24139;CG1155;Dmel\CG1155;SP558;Sp558;osi14
Q86B53	FBgn0053172	CG8473;Dmel\CG33172
Q86B50	FBgn0028581	CG33067;CG33935;Dmel\CG33935
C8VV50	FBgn0260049	AIP1;Aip1;CG10724;Dmel\CG10724;aip1
M9PFG3	FBgn0041775	BEST:GH08269;CG10686;DmLSm15;Dmel\CG10686;LSm15;Lsm15;Scd6p;TRAL;Tral;anon-EST:Posey139;anon-WO0172774.89;anon-WO02059370.24;p67;p70
A8JNX0	FBgn0037182	CG6838;Dmel\CG6838;arfgap1;dArfGAP3
M9PFG1	FBgn0263605	CG5018;Dmel\CG5018;l(3)j5A4
A8JNX2	FBgn0052451	CG14449;CG32451;CG7651;Dmel\CG32451;SPoCK;anon-WO0118547.249
A8JNX5	FBgn0266347	CG12414;CG17552;Dalpha4;Dmel\CG12414;anon-WO0138359.1;nAChR;nAcRalpha-4;nAcRalpha-80;nAcRalpha-80B;nAcRaplha-80B;rye
A1Z872	FBgn0033504	CAP/Vinexin;CG18408;CG18409;CG3451;DCAP;Dmel\CG18408;Rexin;cap;rexin
A1Z871	FBgn0033504	CAP/Vinexin;CG18408;CG18409;CG3451;DCAP;Dmel\CG18408;Rexin;cap;rexin
A1Z870	FBgn0033504	CAP/Vinexin;CG18408;CG18409;CG3451;DCAP;Dmel\CG18408;Rexin;cap;rexin
Q9VLI9	FBgn0260861	CG9298;Dmel\CG9298;TRS23;Trs23p
Q9W5D6	FBgn0040382	Dmel\CG5273;EG:BACR19J1.3
Q9V6U9	FBgn0033883	DM_7303260;Dmel\CG16935
Q0E8K8	FBgn0035103	CG7047;Dmel\CG7047;VDUP1;dvdup1;vdup1
Q9VC62	FBgn0266758	CG6643;Dmel\CG6643;Tricalbin
Q9VLI0	FBgn0032068	CG9466;Dmel\CG9466
Q9VLI2	FBgn0032066	CG9463;Dmel\CG9463
Q9VLI5	FBgn0003209	CG12437;CG9321;Dmel\CG12437;cyr;ensh;l(2)06825;l(2)k03514
Q9VLI4	FBgn0003209	CG12437;CG9321;Dmel\CG12437;cyr;ensh;l(2)06825;l(2)k03514
Q0E8K5	FBgn0035107	CG1216;Dmel\CG1216;Mri
A0A0B4K7U0	FBgn0263077	BcDNA:GH02712;BcDNA:HL07907;CG17983;CG17984;CG2080;CG2088;CG30492;CG30494;CT6764;Dmel\CG43340;Dmel_CG30492;Dmel_CG30494
A0A0C4DHC8	FBgn0010548	ALDH;ALDH-III;CG11140;CT41571;Dhap;Dmel\CG11140;FALDH;l(2)03610
A1ZBR8	FBgn0034486	Dmel\CG13869
A0A0B4K7U2	FBgn0263077	BcDNA:GH02712;BcDNA:HL07907;CG17983;CG17984;CG2080;CG2088;CG30492;CG30494;CT6764;Dmel\CG43340;Dmel_CG30492;Dmel_CG30494
Q8T965	FBgn0034651	Dmel\CG15676
Q8SZ46	FBgn0051235	CG14311;CG7117;Dmel\CG31235
Q7KSM4	FBgn0038051	BcDNA:AT11646;Dmel\CG17207
Q9VA31	FBgn0039806	Dmel\CG15545
M9PD53	FBgn0002023	CG10699;CG15174;Dmel\CG10699;Lim-3A;l(2)37Bd;l(2)Bd;lim3
Q8SZ43	FBgn0032938	Dmel\CG8671;anon-WO0118547.182
Q59DZ1	FBgn0259213	42313;BG:DS01219.3;BG:DS03144.1;BG:SD01219.3;CG15275;CG15276;CG15277;CG33515;CT35222;Dmel\CG42313;Dmel_CG15277;Dmel_CG33515;cg15277
Q59DZ0	FBgn0005677	BG:DS02780.3;CG4952;DAC;Dac;Dac2-3;Dach;Dm-DAC;Dmel\CG4952;dach;l(2)36Ae;l(2)rK364;spn
Q59DZ3	FBgn0259984	11410;34Da;ADAM10;BG:DS07660.3;CG7147;CT22079;Dmel\CG7147;GS11410;Kuz;br38;l(2)03782;l(2)34Da;l(2)br38;l(2)c00136;l(2)k01403;l34Da;soy nut
Q59DZ2	FBgn0028886	BG:DS03431.1;DS03431.1;DmNAT6;Dmel\CG15279;anon-WO0149848.9
Q59DZ5	FBgn0264895	CG13789;CG13790;CG13791;CG33529;CG34374;CG44086;CG6682;Dmel\CG44086;Dmel_CG13790;Dmel_CG13791;Dmel_CG33529;Dmel_CG34374;Q9VM02_DROME;RapGap1;Rapgap1;rapgap1
Q961D9	FBgn0039907	BCL9;CG2041;Dm Lgs;Dmel\CG2041;Lgl;Lgs
Q59DZ7	FBgn0053531	CG11573;CG13984;CG13985;CG33531;CG9488;CG9490;CT33540;DDR;Dmel\CG33531;Dmel_CG13984
Q8SZ49	FBgn0035856	BcDNA:RE17113;Dmel\CG13679
A0A0B4KGK7	FBgn0261261	CG1093;CG14674;CG34122;CG42612;Dmel\CG42612;Dmel_CG1093;Dmel_CG14674;Dmel_CG34122
A0A0B4KGK5	FBgn0038826	AI945337;CG17838;Dmel\CG17838;anon-WO0118547.613;cg17838;l(3)03806;syp
Q9VK76	FBgn0032439	CG17031;Dmel\CG17031;REF2;cg17031;ref2
A0A0B4KGK8	FBgn0038826	AI945337;CG17838;Dmel\CG17838;anon-WO0118547.613;cg17838;l(3)03806;syp
M9NE27	FBgn0035578	Dmel\CG13707
Q9VK71	FBgn0004394	CG12287;CG15486;CG15487;Dmel\CG12287;Oct-2;Oct2;Pdm;Pdm-2;Pdm2;dOct2;dPOU-28;dPOU28;dPOU28/pdm-2;dim;dpou28;miti;pdm;pdm-2
Q9VK72	FBgn0032442	Dmel\CG15485
Q4V5M2	FBgn0050447	Dmel\CG30447
A1Z802	FBgn0033450	CG12924;Dmel\CG12924;LSM11;dLsm11
Q9VTY5	FBgn0036292	Dmel\CG10646;anon-WO0172774.52
Q9VPU0	FBgn0031286	Dmel\CG3862
Q02870	FBgn0001179	CG8019;DhR25;DhXPB;DmXPB;Dmel\CG8019;ERCC3;Hay;TFIIH;XPB;Xpb;Xpb/hay;hwr;i50;ms(3)nc2;nc2
Q27367	FBgn0015924	CD36;CG31655;CG4280;CRQ;Cd36;Cqr;Crq;D-CD36;Dmel\CG4280;anon-WO0140519.8;cqm;cqr
Q9VCR0	FBgn0039051	Dmel\CG17109
Q7JUM3	FBgn0034270	Dm*AAF57802/5-442;Dmel\CG6401
Q8SXV2	FBgn0051675	BcDNA:RE19849;Dmel\CG31675
M9PB32	FBgn0053196	BcDNA:SD02173;CG15637;CG31724;CG31725;CG31726;CG31727;CG31964;CG31965;CG31966;CG31967;CG31968;CG33000;CG33086;CG33196;CR33195;CT35799;DP;DPY;Dmel\CG33196;Dp;Mur24F;Q8IQ18_DROME;SP460;dp;l(2)24Fd;olv[D]
M9PB31	FBgn0053196	BcDNA:SD02173;CG15637;CG31724;CG31725;CG31726;CG31727;CG31964;CG31965;CG31966;CG31967;CG31968;CG33000;CG33086;CG33196;CR33195;CT35799;DP;DPY;Dmel\CG33196;Dp;Mur24F;Q8IQ18_DROME;SP460;dp;l(2)24Fd;olv[D]
M9PB30	FBgn0053196	BcDNA:SD02173;CG15637;CG31724;CG31725;CG31726;CG31727;CG31964;CG31965;CG31966;CG31967;CG31968;CG33000;CG33086;CG33196;CR33195;CT35799;DP;DPY;Dmel\CG33196;Dp;Mur24F;Q8IQ18_DROME;SP460;dp;l(2)24Fd;olv[D]
L0MLL1	FBgn0052000	BcDNA:LD05303;BcDNA:LD19039;BcDNA:SD17880;Dmel\CG32000
A0A0B4KHY8	FBgn0027512	BcDNA:LD22087;Dmel\CG10254
Q9VGW4	FBgn0037836	Dmel\CG14692
Q8SXV9	FBgn0030829	BcDNA:RH61745;CT32204;Dmel\CG12998
A0A0B4KHY1	FBgn0039876	Dmel\CG2126;anon-WO0118547.412
Q9VME8	FBgn0031803	CG9501;Dmel\CG9501;PPK14
Q8MRI4	FBgn0030336	Dmel\CG1578
M9PE08	FBgn0040507	AC;CG5712;DACXD;Dmel\CG5712
A1Z959	FBgn0050486	Dmel\CG30486
Q9VVS5	FBgn0036812	CG4076;Dmel\CG4076;NUFIP
Q9VVS4	FBgn0036811	BcDNA:GH01072;CG6884;Dmel\CG6884;Med11;Med21;anon-WO0153538.71;dMED21;med11
Q9VME2	FBgn0259716	CG13981;CG33295;CG9508;CG9511;CT26920;Dmel\CG42370;Dmel_CG9508;Dmel_CG9511
Q9VVS1	FBgn0036808	CG18363;DmDic4p;Dmel\CG18363
Q9VME5	FBgn0043854	CG9506;Dmel\CG9506;Slam;wdo
Q8MRI9	FBgn0259938	AAF24476.1;CG17100;CWO;Cwo;Dmel\CG17100;GM05287;bHLHe49;mel_cwo
Q9VME7	FBgn0031804	AAF52372;Dmel\CG9500;FBpp0078910
Q8MLS1	FBgn0085453	CG11079;Dmel\CG34424;anon-WO0118547.139
Q95SE8	FBgn0036318	CG11009;Dmel\CG11009;wbp2
Q95U62	FBgn0010317	CDI5;CG10308;Cdi5;Dmel\CG10308;cdi5;cycJ;cyclinJ
Q95U65	FBgn0052095	BEST:GH03217;BcDNA:GH03217;DPLG3;Dmel\CG32095
A0A0B4LGP3	FBgn0010435	CG2727;Dmel\CG2727
Q9VZZ6	FBgn0035355	BcDNA:RE30174;Dmel\CG16985
Q8IGP5	FBgn0032979	CG1832;CLAMP;Dmel\CG1832
Q494I1	FBgn0037541	Dmel\CG2747
A0A0B4LFF3	FBgn0263980	CG12958;CG12959;CG14163;CG18625;CG30470;CG34318;CG34318/CG34365/CG8179;CG34365;CG43223;CG8179;Dm_2R:47664;Dm_2R:47672;Dmel\CG43729;Dmel_CG12958;Dmel_CG12959;Dmel_CG18625;Dmel_CG30470;Dmel_CG34318;Dmel_CG34365;Dmel_CG43223;Dmel_CG8179;mdcds_11908
Q494I2	FBgn0027335	CG6606;Dmel\CG6606;dRip11;l(1)G0003;l(1)G0070;l(1)G0092;l(1)G0205;l(1)G0297;l(1)G0434
Q9VU50	FBgn0036346	Dmel\CG11251
Q9VU51	FBgn0010452	0024/05;0641/17;CG11280;CT31487;Dmel\CG11280;anon-EST:fe2B1
A0A0B4KFC0	FBgn0003396	BEST:SD06302;CG7734;Dmel\CG7734;EP(2)2359;EP2359;SD06302;SHN;Shn;l(2)04738;quo
Q9VU53	FBgn0023095	BcDNA:LD07388;CAPS;CG11282;CT31495;Caps;Dmel\CG11282;l(3)02937;l(3)rM632
A1Z7P9	FBgn0003612	CG8068;CLOT2057;DPIAS;DmPias;Dmel\CG8068;Dpias;PIAS;SU(VAR)2-10;Su(Var)2-10;Su(var)-10;Su-var(2)10;Suvar(2)10;ZIMP;ZimpA;ZimpB;dPIAS;dpias;i184;l(2)03697;pias;zimp
