source_name;source_uniprotAC;source_speciesID;source_species;source_topology;source_pathways;target_name;target_uniprotAC;target_speciesID;target_species;target_topology;target_pathways;layer;interaction_type;directness;effect;references;source;confidence_score;score_from_the_source
Dmel_CG16973;Q7KV90;FBgn0010909;D. melanogaster;Mediator;;CG12530;P40793;FBgn0010341;D. melanogaster;Mediator;RTK(core);interaction from external databases;PPI undirected;direct;unknown;12467587|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.2723;
CG5686;Q9XTN2;FBgn0024248;D. melanogaster;Mediator;RTK(core);CG3143;Q95V55;FBgn0038197;D. melanogaster;Transcription factor;RTK(core);interaction from external databases;PPI undirected;direct;unknown;12908874|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.228576;
CG6127;P18168;FBgn0004197;D. melanogaster;Endocytosis related ,Ligand ;Notch(non-core);CG8118;P21519;FBgn0002643;D. melanogaster;Co-factor;Notch(non-core);interaction from external databases;PPI undirected;direct;unknown;10545243|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.2876;
CG2411;P18502;FBgn0003892;D. melanogaster;Receptor;Hedgehog(core);Dmel_CG10491;Q59E20;FBgn0003984;D. melanogaster;Ligand ;RTK(core);interaction from external databases;PPI undirected;direct;unknown;10588875|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);;
C5I7I9;C5I7I9;;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.55556
CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);CG1921;O44783;FBgn0014388;D. melanogaster;Co-factor;RTK(non-core);interaction from external databases;PPI undirected;direct;unknown;22036573|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.217242;
C5I7I1;C5I7I1;;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.55556
CG12608;C5I7I2;;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.55556
CG2019;Q9VNJ5;FBgn0029088;D. melanogaster;Co-factor;Hedgehog(core);CG2096;P48462;FBgn0000711;D. melanogaster;Co-factor;TGF(non-core);interaction from external databases;PPI undirected;direct;unknown;22036573|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.166483;
Dmel_CG1891;Q7JQ36;FBgn0003317;D. melanogaster;Receptor;TGF(core);CG12399;P42003;FBgn0011648;D. melanogaster;Mediator,Transcription factor;TGF(core);interaction from external databases;PPI undirected;direct;unknown;9502733|9521913|10075933|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.308959;
CG18408;Q966U8;FBgn0033504;D. melanogaster;;;CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.20408
CG18408;Q966U8;FBgn0033504;D. melanogaster;;;CG4244;Q9Y0H4;FBgn0003557;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.5449
CG18408;Q966U8;FBgn0033504;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.52381
CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);CG1004;P20350;FBgn0004635;D. melanogaster;Co-factor;RTK(non-core);interaction from external databases;PPI undirected;direct;unknown;8026629|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.267812;
Act57B-RA;C8VV69;FBgn0000044;D. melanogaster;;;CG4244;Q9Y0H4;FBgn0003557;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.98571
CG1594;Q24592;FBgn0004864;D. melanogaster;Mediator;JAK/STAT(core);CG4257;Q24151;FBgn0016917;D. melanogaster;Transcription factor;JAK/STAT(core);interaction from external databases;PPI undirected;direct;unknown;9032284|8608595|8608596|8650180|12454071|10346822|21036869|21071413;DROID(url: http://www.droidb.org/ ,pmid: 21036869), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.344523;
CG4353;Q23977;FBgn0010303;D. melanogaster;Mediator,Transcription factor;RTK(core);Dmel_CG14026;Q7KTP1;FBgn0003716;D. melanogaster;Receptor;TGF(core);interaction from external databases;PPI undirected;direct;unknown;10408443|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.2876;
CG3936;P07207;FBgn0004647;D. melanogaster;Endocytosis related ,Receptor,Transcription factor;Notch(core);CG12530;P40793;FBgn0010341;D. melanogaster;Mediator;RTK(core);interaction from external databases;PPI undirected;direct;unknown;11016838|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.303256;
CG1594;Q24592;FBgn0004864;D. melanogaster;Mediator;JAK/STAT(core);CG15793;Q24324;FBgn0010269;D. melanogaster;Mediator;RTK(core);interaction from external databases;PPI undirected;direct;unknown;11919715|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.290236;
CG18402;P09208;FBgn0013984;D. melanogaster;Receptor;RTK(core);CG3143;Q95V55;FBgn0038197;D. melanogaster;Transcription factor;RTK(core);interaction from external databases;PPI undirected;direct;unknown;12893776|12908874|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.222725;
CG5680;P92208;FBgn0000229;D. melanogaster;Mediator;RTK(core);CG4353;Q23977;FBgn0010303;D. melanogaster;Mediator,Transcription factor;RTK(core);interaction from external databases;PPI undirected;direct;unknown;11912189|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.322306, GO Semantic Similarity: 0.322306;
CG4889;P09615;FBgn0004009;D. melanogaster;Ligand ,Transcription factor;WNT/Wingless(core);CG12399;P42003;FBgn0011648;D. melanogaster;Mediator,Transcription factor;TGF(core);interaction from external databases;PPI undirected;direct;unknown;8681796|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.320951;
CG7393;O61443;FBgn0024846;D. melanogaster;Mediator;;Dmel_CG12244;O62602;FBgn0261524;D. melanogaster;;RTK(core);interaction from external databases;PPI undirected;direct;unknown;21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.281493, GO Semantic Similarity: 0.281493;
Dmel_CG14026;Q7KTP1;FBgn0003716;D. melanogaster;Receptor;TGF(core);CG11579;P18824;FBgn0000117;D. melanogaster;;WNT/Wingless(core);interaction from external databases;PPI undirected;direct;unknown;10903184|11003840|9716539|11290291|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.290236;
CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);CG4244;Q9Y0H4;FBgn0003557;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);interaction from external databases;PPI undirected;direct;unknown;22036573|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.174737, GO Semantic Similarity: 0.174737;
CG5686;Q9XTN2;FBgn0024248;D. melanogaster;Mediator;RTK(core);CG5671;Q9U470;FBgn0026379;D. melanogaster;Co-factor;RTK(non-core);interaction from external databases;PPI undirected;direct;unknown;10556061|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.217242;
CG6551;P23647;FBgn0001079;D. melanogaster;Co-factor;Hedgehog(core);CG11561;P91682;FBgn0003444;D. melanogaster;Mediator;Hedgehog(core),TGF(core);interaction from external databases;PPI undirected;direct;unknown;14597665|21036869|21071413;DROID(url: http://www.droidb.org/ ,pmid: 21036869), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.174263;
CG2028;P54367;FBgn0015024;D. melanogaster;Co-factor;Hedgehog(core),WNT/Wingless(core);CG2048;O76324;FBgn0002413;D. melanogaster;Co-factor;WNT/Wingless(core);interaction from external databases;PPI undirected;direct;unknown;22036573|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.166483;
CG18402;P09208;FBgn0013984;D. melanogaster;Receptor;RTK(core);CG5686;Q9XTN2;FBgn0024248;D. melanogaster;Mediator;RTK(core);interaction from external databases;PPI undirected;direct;unknown;10399915|17956857|22068330|10455177|22028469|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.320206, GO Semantic Similarity: 0.320206;
CG4353;Q23977;FBgn0010303;D. melanogaster;Mediator,Transcription factor;RTK(core);CG9885;P07713;FBgn0000490;D. melanogaster;Ligand ,Transcription factor;TGF(core);interaction from external databases;PPI undirected;direct;unknown;10408443|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.294204;
Dmel_CG4141;P91634;FBgn0015279;D. melanogaster;Mediator;RTK(core);CG5671;Q9U470;FBgn0026379;D. melanogaster;Co-factor;RTK(non-core);interaction from external databases;PPI undirected;direct;unknown;10556061|10617573|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.257985;
CG6721;P48423;FBgn0004390;D. melanogaster;;RTK(non-core);CG2096;P48462;FBgn0000711;D. melanogaster;Co-factor;TGF(non-core);interaction from external databases;PPI undirected;direct;unknown;22036573|21036869;DROID(url: http://www.droidb.org/ ,pmid: 21036869);GO Semantic Similarity: 0.174263;
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG6033;Q08012;FBgn0004638;D. melanogaster;Mediator;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.45536
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.78929
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG9211;Q9VM64;FBgn0031872;D. melanogaster;Co-factor;Hedgehog(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.59687
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.70408
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG11988;P29503;FBgn0002932;D. melanogaster;Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.28929
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.72312
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG4244;Q9Y0H4;FBgn0003557;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.69082
Pk61C-RD;C7LAC8;;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.81746
CG31196;P92177;FBgn0020238;D. melanogaster;;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.28935;Structure filter: 1.4625
CG31196;P92177;FBgn0020238;D. melanogaster;;;CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.217242;Structure filter: 1.66071
CG17870;P29310;FBgn0004907;D. melanogaster;Co-factor;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.236485;Structure filter: 1.4625
CG17870;P29310;FBgn0004907;D. melanogaster;Co-factor;;CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.228576;Structure filter: 1.66071
CG4032;P00522;FBgn0000017;D. melanogaster;Co-factor;Notch(non-core);CG6033;Q08012;FBgn0004638;D. melanogaster;Mediator;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.217242;Structure filter: 1.27794
CG4032;P00522;FBgn0000017;D. melanogaster;Co-factor;Notch(non-core);CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.236485;Structure filter: 1.70625
CG4032;P00522;FBgn0000017;D. melanogaster;Co-factor;Notch(non-core);CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.223133;Structure filter: 2.08929
CG4032;P00522;FBgn0000017;D. melanogaster;Co-factor;Notch(non-core);CG11988;P29503;FBgn0002932;D. melanogaster;Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.228576;Structure filter: 1.75163
CG4032;P00522;FBgn0000017;D. melanogaster;Co-factor;Notch(non-core);CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.217242;Structure filter: 2.05125
CG4032;P00522;FBgn0000017;D. melanogaster;Co-factor;Notch(non-core);CG4244;Q9Y0H4;FBgn0003557;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.168151;Structure filter: 1.65714
CG4032;P00522;FBgn0000017;D. melanogaster;Co-factor;Notch(non-core);CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.190883;Structure filter: 1.52381
CG12051;P02572;FBgn0000043;D. melanogaster;;;CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.146212;Structure filter: 1.8
CG4027;P10987;FBgn0000042;D. melanogaster;;;CG6033;Q08012;FBgn0004638;D. melanogaster;Mediator;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.180603;Structure filter: 1.75714
CG4027;P10987;FBgn0000042;D. melanogaster;;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.1948;Structure filter: 2.005
CG4027;P10987;FBgn0000042;D. melanogaster;;;CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.174737;Structure filter: 1.8
CG4027;P10987;FBgn0000042;D. melanogaster;;;CG11988;P29503;FBgn0002932;D. melanogaster;Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.207225;Structure filter: 1.76652
CG4027;P10987;FBgn0000042;D. melanogaster;;;CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.190883;Structure filter: 1.8125
CG4027;P10987;FBgn0000042;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);GO Semantic Similarity: 0.180603;Structure filter: 1.70333
CG7478;P02574;FBgn0000045;D. melanogaster;;;CG6033;Q08012;FBgn0004638;D. melanogaster;Mediator;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.75714
CG7478;P02574;FBgn0000045;D. melanogaster;;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 2.005
CG7478;P02574;FBgn0000045;D. melanogaster;;;CG9211;Q9VM64;FBgn0031872;D. melanogaster;Co-factor;Hedgehog(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.845
CG7478;P02574;FBgn0000045;D. melanogaster;;;CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.8
CG7478;P02574;FBgn0000045;D. melanogaster;;;CG11988;P29503;FBgn0002932;D. melanogaster;Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.76652
CG7478;P02574;FBgn0000045;D. melanogaster;;;CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.8125
CG7478;P02574;FBgn0000045;D. melanogaster;;;CG4244;Q9Y0H4;FBgn0003557;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.98571
CG2248;P40792;FBgn0010333;D. melanogaster;Co-factor,Mediator;RTK(core);CG2845;P11346;FBgn0003079;D. melanogaster;Mediator;RTK(core);interaction from external databases;PPI undirected;direct;unknown;10985385|11076763|21071413;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413);GO Semantic Similarity: 0.294204;
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG6033;Q08012;FBgn0004638;D. melanogaster;Mediator;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.75714
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG10079;P04412;FBgn0003731;D. melanogaster;Receptor;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 2.005
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG9211;Q9VM64;FBgn0031872;D. melanogaster;Co-factor;Hedgehog(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.845
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG7555;Q9VVI3;FBgn0259174;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.8
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG11988;P29503;FBgn0002932;D. melanogaster;Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.76652
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG10334;Q01083;FBgn0005672;D. melanogaster;Ligand ;RTK(core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.8125
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG4244;Q9Y0H4;FBgn0003557;D. melanogaster;Co-factor,Endocytosis related ;Notch(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.98571
CG18290;P10981;FBgn0000046;D. melanogaster;;;CG4531;Q00805;FBgn0004569;D. melanogaster;Co-factor;RTK(non-core);Post-translational modification;PPI directed;direct;unknown;22110040;ELM based prediction(url: http://elm.eu.org/ ,pmid: 22110040);;Structure filter: 1.70333
